id;"""day""";man_hour;activity_id;project_id;profile_id;bay_id;voltage_level_id;status;description;improductive;created_at;updated_at;improductive_reason_id;number_of_revisions;action_deadline;main_skill_id;main_equipment_id
12;14/09/2019;0.32;4;4;17;5;1;0;Brooklyn +1 vegan 8-bit seitan photo booth thundercats readymade Wayfarers. Salvia Brooklyn twee DIY skateboard messenger bag. Mixtape PBR Marfa ethical Williamsburg. Irony craft beer Shoreditch butcher lo-fi readymade brunch thundercats. Ethical put a bird on it hoodie trust fund messenger bag twee photo booth.;TRUE;23/09/2019 15:03;23/09/2019 15:03;4;0;30/09/2019;4;2
13;17/09/2019;2.06;1;16;6;2;4;0;Organic vegan party irony mustache vice stumptown Shoreditch moon. Cosby sweater PBR biodiesel keytar retro food truck master cleanse high life before they sold out. Irony gentrify trust fund party gluten-free DIY. Party raw denim Rerry Richardson lo-fi banh mi viral echo park Williamsburg. Thundercats craft beer mlkshk jean shorts put a bird on it quinoa letterpress Wayfarers.;TRUE;23/09/2019 15:03;23/09/2019 15:03;4;0;30/09/2019;3;5
14;18/09/2019;1.98;1;4;10;1;4;0;Synth cardigan Shoreditch photo booth lo-fi scenester dreamcatcher. Tattooed dreamcatcher jean shorts fanny pack McSweeney's you probably haven't heard of them letterpress artisan trust fund. Salvia helvetica etsy mlkshk Portland blog leggings Cosby Sweater.;TRUE;23/09/2019 15:03;23/09/2019 15:03;3;0;30/09/2019;4;2
15;12/09/2019;2.46;2;1;24;6;3;0;Fixie before they sold out letterpress high life Rerry Richardson. Sustainable letterpress high life food truck before they sold out trust fund. Trust fund banh mi tofu dreamcatcher fixie VHS Four Loko mixtape. 8-bit stumptown mustache gentrify cardigan. Mcsweeney's quinoa cred Marfa PBR twee tattooed Portland jean shorts.;TRUE;23/09/2019 15:03;23/09/2019 15:03;4;0;30/09/2019;3;2
16;14/09/2019;2.79;1;3;7;2;1;0;Vinyl fixie wolf Shoreditch lomo messenger bag tattooed Pitchfork. Yr Four Loko vinyl cliche butcher Marfa vegan. Beard gluten-free party Shoreditch Carles whatever mixtape next level.;TRUE;23/09/2019 15:03;23/09/2019 15:03;2;0;30/09/2019;4;4
18;23/09/2019;0.49;3;10;9;6;2;0;Mustache locavore beard Portland freegan farm-to-table. Mlkshk vice craft beer next level brunch cliche. Keytar craft beer Four Loko you probably haven't heard of them Carles organic skateboard seitan gentrify. Gluten-free master cleanse blog irony Wes Anderson party craft beer helvetica.;TRUE;23/09/2019 15:03;23/09/2019 15:03;1;0;30/09/2019;3;5
19;14/09/2019;0.01;3;3;4;1;2;0;Artisan iPhone synth twee master cleanse American Apparel 8-bit echo park mlkshk. Echo park Shoreditch viral synth food truck +1. Rerry richardson vice Marfa chambray messenger bag high life Four Loko fixie.;TRUE;23/09/2019 15:03;23/09/2019 15:03;4;0;30/09/2019;2;1
17;12/09/2019;6.00;2;8;7;3;3;3;Yr freegan party brunch Austin. Dreamcatcher artisan retro etsy sustainable party Brooklyn irony. Before they sold out Four Loko gluten-free etsy beard.;TRUE;23/09/2019 15:03;23/09/2019 15:16;3;0;28/09/2019;4;1
20;14/09/2019;1.96;5;3;17;5;3;0;Aesthetic hoodie high life jean shorts mlkshk food truck Austin. Vinyl DIY single-origin coffee yr letterpress aesthetic synth farm-to-table echo park. Next level messenger bag trust fund Pitchfork vegan letterpress. Williamsburg tofu McSweeney's lomo Portland. Mlkshk keffiyeh Williamsburg hoodie whatever VHS Banksy letterpress bicycle rights.;TRUE;23/09/2019 15:03;23/09/2019 15:03;2;0;30/09/2019;1;6
21;12/09/2019;1.69;1;14;6;6;4;0;Cosby sweater before they sold out tattooed artisan fixie jean shorts photo booth. Bicycle rights artisan blog lo-fi Rerry Richardson Austin Marfa cardigan messenger bag. American apparel freegan etsy locavore messenger bag mixtape art sustainable brunch.;TRUE;23/09/2019 15:04;23/09/2019 15:04;2;0;30/09/2019;3;6
22;13/09/2019;1.03;4;18;3;6;2;0;American apparel tofu fanny pack helvetica before they sold out tattooed salvia. Quinoa lo-fi put a bird on it Brooklyn craft beer. Marfa food truck art Banksy helvetica letterpress stumptown. Portland craft beer beard yr locavore leggings. Sartorial master cleanse stumptown skateboard Williamsburg wolf keffiyeh.;TRUE;23/09/2019 15:04;23/09/2019 15:04;3;0;30/09/2019;2;5
23;12/09/2019;2.47;1;12;17;4;3;0;Master cleanse Carles quinoa twee ethical thundercats. Food truck party art ethical beard McSweeney's. Beard synth mustache high life etsy lo-fi. Letterpress seitan Austin raw denim Brooklyn before they sold out vinyl iPhone.;TRUE;23/09/2019 15:04;23/09/2019 15:04;3;0;30/09/2019;2;6
24;15/09/2019;0.41;3;11;5;6;2;0;Twee art butcher Austin cliche next level. Artisan Wayfarers letterpress Cosby Sweater etsy leggings sartorial. Yr synth next level craft beer biodiesel jean shorts. Farm-to-table art organic cliche party Carles master cleanse. Letterpress Williamsburg American Apparel helvetica echo park.;TRUE;23/09/2019 15:04;23/09/2019 15:04;1;0;30/09/2019;4;1
25;20/09/2019;2.23;5;15;4;2;1;0;Vinyl locavore keffiyeh blog Four Loko squid gentrify scenester. Viral McSweeney's Carles twee scenester VHS letterpress quinoa. Diy echo park wolf Portland photo booth jean shorts fanny pack. Readymade fanny pack bicycle rights sartorial mustache viral butcher tattooed chambray.;TRUE;23/09/2019 15:04;23/09/2019 15:04;3;0;30/09/2019;3;7
26;18/09/2019;1.52;3;3;10;2;2;0;Fap artisan cliche messenger bag Four Loko. Seitan aesthetic McSweeney's fap yr whatever. Etsy tattooed photo booth fanny pack yr.;TRUE;23/09/2019 15:04;23/09/2019 15:04;4;0;30/09/2019;3;2
27;14/09/2019;0.39;5;17;13;1;1;0;Shoreditch VHS fixie Pitchfork wolf moon McSweeney's. Cosby sweater moon 8-bit fanny pack thundercats messenger bag Carles sartorial McSweeney's. Four loko thundercats twee next level brunch Marfa fap.;TRUE;23/09/2019 15:04;23/09/2019 15:04;2;0;30/09/2019;4;4
28;16/09/2019;0.71;1;13;23;5;2;0;Butcher helvetica Rerry Richardson keytar twee. Chambray echo park organic mlkshk vinyl. Blog food truck single-origin coffee vinyl Cosby Sweater Marfa next level DIY. Skateboard +1 cred irony beard artisan.;TRUE;23/09/2019 15:04;23/09/2019 15:04;3;0;30/09/2019;3;1
29;19/09/2019;2.42;4;11;6;6;1;0;Party freegan before they sold out keytar artisan keffiyeh wolf. Scenester McSweeney's artisan seitan Austin sustainable Four Loko etsy leggings. Chambray letterpress moon lomo cliche iPhone. High life moon scenester viral trust fund tumblr DIY readymade bicycle rights.;TRUE;23/09/2019 15:04;23/09/2019 15:04;4;0;30/09/2019;3;5
30;20/09/2019;2.73;1;16;12;6;3;0;Wes anderson sustainable you probably haven't heard of them food truck locavore retro Williamsburg. Four loko lo-fi Banksy Wes Anderson before they sold out. Butcher salvia vice McSweeney's Marfa +1 lo-fi viral.;TRUE;23/09/2019 15:04;23/09/2019 15:04;3;0;30/09/2019;2;3
31;17/09/2019;1.36;4;15;10;2;4;0;American apparel jean shorts mixtape next level retro lo-fi. Tofu messenger bag beard fanny pack whatever iPhone keffiyeh freegan etsy. Mcsweeney's etsy seitan DIY echo park tofu salvia Cosby Sweater vegan. Bicycle rights thundercats artisan VHS messenger bag Marfa you probably haven't heard of them beard butcher.;TRUE;23/09/2019 15:04;23/09/2019 15:04;3;0;30/09/2019;4;3
32;22/09/2019;0.57;2;18;7;3;1;0;Aesthetic quinoa keffiyeh fap next level tattooed iPhone Portland art. Tofu mixtape trust fund Rerry Richardson lo-fi fanny pack. Cosby sweater Austin keffiyeh messenger bag butcher trust fund craft beer. Food truck beard butcher tofu Williamsburg art. Fanny pack cardigan sustainable Marfa retro helvetica skateboard sartorial.;TRUE;23/09/2019 15:04;23/09/2019 15:04;2;0;30/09/2019;1;4
33;22/09/2019;2.12;4;20;2;5;2;0;Brooklyn Rerry Richardson brunch squid leggings Shoreditch McSweeney's sustainable. Quinoa echo park mustache aesthetic fap sustainable locavore. Irony readymade keffiyeh put a bird on it PBR. Tofu photo booth aesthetic bicycle rights mustache stumptown fanny pack.;TRUE;23/09/2019 15:04;23/09/2019 15:04;2;0;30/09/2019;3;6
34;12/09/2019;1.19;2;3;13;4;2;0;Jean shorts artisan beard retro squid. Art moon Wes Anderson mixtape high life blog 8-bit quinoa helvetica. Vice sustainable messenger bag American Apparel +1.;TRUE;23/09/2019 15:04;23/09/2019 15:04;2;0;30/09/2019;3;4
35;18/09/2019;2.87;3;10;25;5;3;0;Pitchfork wolf Wayfarers letterpress American Apparel banh mi fap. Tofu trust fund viral skateboard seitan cardigan blog Marfa. Tattooed twee quinoa you probably haven't heard of them biodiesel vice vegan. Gentrify blog readymade thundercats Wayfarers. Cosby sweater dreamcatcher master cleanse moon single-origin coffee yr Brooklyn messenger bag stumptown.;TRUE;23/09/2019 15:04;23/09/2019 15:04;4;0;30/09/2019;2;1
36;21/09/2019;0.16;3;8;19;2;4;0;Bicycle rights butcher cliche party Banksy irony twee aesthetic Four Loko. Skateboard fanny pack mustache artisan whatever. Tumblr vegan brunch banh mi lo-fi. Before they sold out vinyl viral Shoreditch locavore. Fap Four Loko sartorial before they sold out gluten-free Carles McSweeney's.;TRUE;23/09/2019 15:04;23/09/2019 15:04;2;0;30/09/2019;2;4
37;23/09/2019;1.52;2;1;3;4;4;0;Tattooed art Shoreditch thundercats chambray American Apparel. Banksy raw denim art Wayfarers viral squid helvetica party salvia. Gentrify organic scenester ethical Carles cred. Leggings sustainable Wayfarers viral fixie. Blog skateboard American Apparel craft beer cred.;TRUE;23/09/2019 15:04;23/09/2019 15:04;1;0;30/09/2019;1;5
38;15/09/2019;2.81;4;19;24;4;4;0;Rerry richardson echo park wolf Marfa American Apparel fanny pack food truck whatever cardigan. Tattooed twee mixtape yr irony lo-fi. Jean shorts hoodie Wayfarers skateboard helvetica keytar bicycle rights beard. Tattooed butcher seitan keffiyeh before they sold out Shoreditch.;TRUE;23/09/2019 15:04;23/09/2019 15:04;3;0;30/09/2019;4;7
39;12/09/2019;2.24;2;3;14;5;4;0;Banh mi artisan Banksy twee Four Loko viral whatever raw denim. Seitan bicycle rights vinyl hoodie wolf Brooklyn cliche vice. Cardigan salvia keffiyeh ethical quinoa letterpress scenester tumblr.;TRUE;23/09/2019 15:04;23/09/2019 15:04;2;0;30/09/2019;1;5
40;16/09/2019;0.68;5;11;7;5;2;0;Master cleanse lo-fi DIY echo park blog cliche trust fund moon. Tumblr art PBR Cosby Sweater dreamcatcher single-origin coffee retro banh mi. Vhs Pitchfork echo park before they sold out messenger bag craft beer cardigan. Banksy farm-to-table vice whatever photo booth irony readymade fap stumptown. Wes anderson tumblr brunch Cosby Sweater PBR.;TRUE;23/09/2019 15:04;23/09/2019 15:04;1;0;30/09/2019;1;7
41;12/09/2019;2.66;3;14;15;2;4;0;Vinyl VHS Brooklyn before they sold out scenester. Brooklyn master cleanse Shoreditch Marfa Rerry Richardson Carles hoodie fanny pack chambray. Cliche put a bird on it aesthetic American Apparel Pitchfork. Vegan scenester hoodie craft beer irony leggings keffiyeh iPhone cardigan.;TRUE;23/09/2019 15:04;23/09/2019 15:04;2;0;30/09/2019;1;2
42;22/09/2019;1.37;2;2;2;6;2;0;+1 vegan cardigan mixtape blog echo park twee cred helvetica. Biodiesel quinoa moon VHS keytar stumptown Pitchfork put a bird on it. Stumptown PBR high life yr whatever scenester aesthetic squid sustainable.;TRUE;23/09/2019 15:04;23/09/2019 15:04;1;0;30/09/2019;2;6
43;13/09/2019;0.71;3;14;19;6;3;0;Moon gentrify Williamsburg art photo booth. Bicycle rights before they sold out Wes Anderson thundercats mlkshk DIY seitan cliche. Chambray whatever cardigan tattooed wolf fanny pack single-origin coffee. Austin mixtape Shoreditch seitan beard thundercats. Food truck American Apparel thundercats blog beard.;TRUE;23/09/2019 15:04;23/09/2019 15:04;4;0;30/09/2019;2;4
44;22/09/2019;2.72;1;1;17;6;3;0;Artisan banh mi food truck master cleanse gluten-free. Fap skateboard DIY letterpress dreamcatcher master cleanse stumptown. Before they sold out vegan aesthetic Marfa Portland McSweeney's.;TRUE;23/09/2019 15:04;23/09/2019 15:04;4;0;30/09/2019;4;5
45;18/09/2019;1.01;3;18;22;4;4;0;Mustache Portland retro whatever wolf craft beer. Butcher messenger bag trust fund 8-bit retro cred. Iphone Marfa tattooed vinyl high life chambray single-origin coffee biodiesel. Messenger bag food truck Williamsburg single-origin coffee Brooklyn locavore cred Portland whatever. Before they sold out blog VHS Shoreditch stumptown viral.;TRUE;23/09/2019 15:04;23/09/2019 15:04;2;0;30/09/2019;2;7
46;21/09/2019;0.75;2;7;12;3;2;0;Messenger bag locavore vegan seitan stumptown Williamsburg iPhone jean shorts irony. Dreamcatcher readymade blog Brooklyn Pitchfork you probably haven't heard of them +1. Squid fixie next level chambray fanny pack Shoreditch tattooed.;TRUE;23/09/2019 15:04;23/09/2019 15:04;1;0;30/09/2019;2;6
47;18/09/2019;1.17;5;5;13;5;3;0;Iphone synth gluten-free 8-bit seitan jean shorts Wes Anderson. Fap party dreamcatcher mustache mixtape messenger bag keytar letterpress. Trust fund fap echo park banh mi aesthetic quinoa art seitan. Artisan ethical viral locavore hoodie.;TRUE;23/09/2019 15:04;23/09/2019 15:04;2;0;30/09/2019;3;5
48;22/09/2019;1.05;3;18;12;3;3;0;Jean shorts gentrify VHS Pitchfork aesthetic McSweeney's. Artisan seitan you probably haven't heard of them Wayfarers locavore. Leggings Austin PBR messenger bag sartorial. Fanny pack hoodie lo-fi party craft beer. Beard Austin Rerry Richardson craft beer fap food truck yr keytar.;TRUE;23/09/2019 15:04;23/09/2019 15:04;1;0;30/09/2019;4;5
49;21/09/2019;0.30;2;3;3;6;1;0;Squid fixie etsy cardigan freegan iPhone. Messenger bag iPhone you probably haven't heard of them single-origin coffee Shoreditch. Before they sold out iPhone Wayfarers Portland thundercats vegan organic mustache. Put a bird on it you probably haven't heard of them master cleanse moon hoodie Wes Anderson etsy ethical tumblr. Whatever mustache chambray Austin trust fund dreamcatcher keffiyeh party.;TRUE;23/09/2019 15:04;23/09/2019 15:04;2;0;30/09/2019;2;1
50;20/09/2019;0.53;2;16;25;1;2;0;Readymade stumptown Wayfarers VHS jean shorts mustache. Gluten-free vice synth Shoreditch party viral iPhone. Jean shorts tattooed Carles stumptown iPhone Williamsburg before they sold out.;TRUE;23/09/2019 15:04;23/09/2019 15:04;3;0;30/09/2019;4;1
1;14/09/2019;2.21;5;15;7;4;4;0;Salvia Four Loko yr next level twee tattooed leggings jean shorts. Yr viral lo-fi bicycle rights before they sold out Shoreditch. Leggings Pitchfork banh mi put a bird on it art fap stumptown. Keytar mustache readymade Pitchfork 8-bit McSweeney's letterpress. Lo-fi whatever keytar vinyl mlkshk PBR Williamsburg mixtape yr.;TRUE;23/09/2019 15:03;23/09/2019 15:14;3;0;28/09/2019;4;3
